eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE001,HumanObservation,2012-6/9,Animalia,Buceros rhinoceros,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,1,1,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE002,HumanObservation,2012-6/9,Animalia,Buceros vigil,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,3,3,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE003,HumanObservation,2012-6/9,Animalia,Calyptomena viridis,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,2,2,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE004,HumanObservation,2012-6/9,Animalia,Chalcophaps indica,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,1,1,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE005,HumanObservation,2012-6/9,Animalia,Dicaeum agile,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,1,1,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE006,HumanObservation,2012-6/9,Animalia,Dicaeum cruentatum,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,3,3,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE007,HumanObservation,2012-6/9,Animalia,Dicaeum,Genus,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,2,2,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE008,HumanObservation,2012-6/9,Animalia,Dicaeum trigonostigma,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,2,2,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE009,HumanObservation,2012-6/9,Animalia,Ducula aenea,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,22,22,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE010,HumanObservation,2012-6/9,Animalia,Macropygia emiliana,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,1,1,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE011,HumanObservation,2012-6/9,Animalia,Megalaima australis,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,4,4,individuals,,,
UI-2013IW-TL038-HA01,UI-2013IW-TL038-HA01-VE012,HumanObservation,2012-6/9,Animalia,Megalaima crysopogon,Species,,-4.5166667/-5.95,103.5666667/	104.7166667,,ID,8,8,individuals,,,
