eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA001,Human Observation,2014-07,Animalia,Osteochilus kappenii,Spesies,Ikan Paitan,2.9598806,99.8234889,WGS84,ID,,0.004,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA002,Human Observation,2014-07,Animalia,Oxygaster anomalura,Spesies,Ikan Siamis,2.9598806,99.8234889,WGS84,ID,,0.009,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA003,Human Observation,2014-07,Animalia,Hemirhamphodon sp.,Spesies,Ikan Julung-julung,2.9598806,99.8234889,WGS84,ID,,0.014,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA004,Human Observation,2014-07,Animalia,Megalops cyprinoides,Spesies,Ikan Bulan-bulan,2.9598806,99.8234889,WGS84,ID,,0.009,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA005,Human Observation,2014-07,Animalia,Butis butis,Spesies,Ikan Bujuk,2.9598806,99.8234889,WGS84,ID,,0.004,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA006,Human Observation,2014-07,Animalia,Brachyamblyopus urolepis,Spesies,Ikan Gobi,2.9598806,99.8234889,WGS84,ID,,0.018,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA007,Human Observation,2014-07,Animalia,Macrogranathus maculatus,Spesies,Ikan Tilan,2.9598806,99.8234889,WGS84,ID,,0.004,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA008,Human Observation,2014-07,Animalia,Scatophagus argus,Spesies,Ikan Ketang-ketang,2.9598806,99.8234889,WGS84,ID,,0.009,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA009,Human Observation,2014-07,Animalia,Mystus gulio,Spesies,Ikan Lundu,2.9598806,99.8234889,WGS84,ID,,0.009,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST001,USU-2015MS-AH001-ST001-MA010,Human Observation,2014-07,Animalia,Doryichtys boaja,Spesies,Ikan Kili Buaya,2.9598806,99.8234889,WGS84,ID,,0.004,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST002,USU-2015MS-AH001-ST002-MA001,Human Observation,2014-07,Animalia,Thryssa hamiltoni,Spesies,Ikan Bulu Ayam,2.9723583,99.8068278,WGS84,ID,,0.004,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST002,USU-2015MS-AH001-ST002-MA002,Human Observation,2014-07,Animalia,Hemirhamphodon sp.,Spesies,Ikan Julung-julung,2.9723583,99.8068278,WGS84,ID,,0.014,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST002,USU-2015MS-AH001-ST002-MA003,Human Observation,2014-07,Animalia,Butis butis,Spesies,Ikan Bujuk,2.9723583,99.8068278,WGS84,ID,,0.014,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST002,USU-2015MS-AH001-ST002-MA004,Human Observation,2014-07,Animalia,Glossogobius aureus,Spesies,Ikan Belosoh,2.9723583,99.8068278,WGS84,ID,,0.018,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST002,USU-2015MS-AH001-ST002-MA005,Human Observation,2014-07,Animalia,Mystus nemurus,Spesies,Ikan Baung,2.9723583,99.8068278,WGS84,ID,,0.042,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST003,USU-2015MS-AH001-ST003-MA001,Human Observation,2014-07,Animalia,Oxygaster anomalura,Spesies,Ikan Siamis,2.9841611,99.8066083,WGS84,ID,,0.018,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST003,USU-2015MS-AH001-ST003-MA002,Human Observation,2014-07,Animalia,Butis butis,Spesies,Ikan Bujuk,2.9841611,99.8066083,WGS84,ID,,0.014,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST003,USU-2015MS-AH001-ST003-MA003,Human Observation,2014-07,Animalia,Glossogobius aureus,Spesies,Ikan Belosoh,2.9841611,99.8066083,WGS84,ID,,0.028,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST003,USU-2015MS-AH001-ST003-MA004,Human Observation,2014-07,Animalia,Leiognathus decorus,Spesies,Ikan Peperek,2.9841611,99.8066083,WGS84,ID,,0.014,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST003,USU-2015MS-AH001-ST003-MA005,Human Observation,2014-07,Animalia,Mystus nemurus,Spesies,Ikan Baung,2.9841611,99.8066083,WGS84,ID,,0.037,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
USU-2015MS-AH001-ST003,USU-2015MS-AH001-ST003-MA006,Human Observation,2014-07,Animalia,Tetradon nigrodirvis,Spesies,Ikan Buntal,2.9841611,99.8066083,WGS84,ID,,0.023,ind/m2,Present,"buku identifikasi ikan Kottelat et al., (1993)",
